
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: 551K_scaled.ecu

ECU identified with following data:
HWNumber    = 0261207001       (requested was 0261207001)
SWNumber    = 1037360387       (requested was 1037360387)
PartNumber  = 8D0907551K       (requested was 8D0907551K)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 146 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.10.2021 14:55:59.808

TimeStamp, nmot_w    , mshfm_w   , msdk_w    , uhfm_w    , gangi     , vfzg      , wped_w    , wdkba     , ub        , perffilt_w, plsol_w   , pvdkds_w  , plsolr_w  , pvdkdsl_w , pssol_w   , ps_w      , pvdk_w    , pu_w      , frxt      , frxta_w   , vpssplg_w , lde       , ldtvm     , ldtvr_w   , lditv_w   , ldptv     , ldrdtv    , ldimn_w   , ldimx_w   , ldimxak_w , ldrlts_w  , ldrlms_w  , ldimxa_0  , ldimxa_1  , ldimxa_2  , ldimxa_3  , ldimxa_4  , rl_w      , rlsol_w   , rlmax_w   , rlmx_w    , lamsbg_w  , lamsbg2_w , lamfa_w   , lamfawkr_w, ti_b1     , ti_b2     , usvk      , usvk2     , fr_w      , fr2_w     , uuhsk2_w  , zwgru     , zwist     , zwopt     , zwout     , zwnws     , zwsol     , wkrm      , wkrma     , dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , wnwi_w    , wnwi2_w   , fnwue     , fzabg_w_0 , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabg_w_4 , fzabg_w_5 , fzabgs_w  , tanslin   , tmot      , tmki      , te_w      , tsrldyn   
  sec.ms , rpm       , g/s       , g/s       , V         , gear      , km/h      , PED     , DK      , V         , , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , -         , -         , -         , mBar      , , , , , , , , , , , , , , , , , , , , -         , -         , -         , -         , ms        , ms        , V         , V         , -         , -         ,           , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , V         , V         , V         , V         , V         , V         , °KW       , °KW       , -         , #         , #         , #         , #         , #         , #         , #         , °C        , °C        , °C        , ms        , ms        
"TIME","EngineSpeed","MassAirFlow","MassAirFlowAtThrottlePlate","MAFSensorVoltage","SelectedGear","VehicleSpeed","AccelPedalPosition","ThrottlePlateAngle","BatteryVoltage","CPU-Load","BoostPressureDesired","BoostPressureActual","","","","","","BaroPressure","LoadCorrectFactorCoolantTemp","LoadCorrectFactorIntakeTemp","","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","BoostPID-I-Result","BoostPID-P-Result","BoostPID-D-Result","BoostPID-I-Min","BoostPID-I-Max","ChargeLimitPID-I","ChargeLimitTurboProtection","ChargeLimitEngineProtection","BoostCorrectFactorPID-IRange1","BoostCorrectFactorPID-IRange2","BoostCorrectFactorPID-IRange3","BoostCorrectFactorPID-IRange4","BoostCorrectFactorPID-IRange5","EngineLoad","EngineLoadRequested","EngineLoadCorrected","EngineLoadSpecified","AirFuelRatioDesired","AirFuelRatioDesiredBank2","TargetAFRDriverRequest","KnockLambda","FuelInjectorOnTime","FuelInjectorOnTimeBank2","O2SVoltageSensor1","O2SVoltageSensor1Bank2","LambdaControl","LambdaControlBank2","WidebandBank2","","IgnitionTimingAngle","","IgnitionTimingAngleOverall","","","AvgIgnitionRetardKnockControl","AvgIgnitionRetardKnockControl","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","CamshaftAngle","CamshaftAngleBank2","","CountMisfireCyl1","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireCyl6","CountMisfireCyl4","CountMisfireTotal","IntakeAirTemperature","CoolantTemperature","","EffInjectionTime","Dwell time"
    0.000, 986.5     , 11.8611   , 12.5      , 1.52344   , 0         , 0         , 12.5887   , 5.88235   , 13.5872   , 75.725    , 988.594   , 981.172   , 0         , 981.172   , 632.188   , 597.109   , 973.828   , 988.594   , 1         , 1.01285   , 0.639466  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 213.492   , 217.945   , 0         , 0         , 0         , 0         , 0         , 39.7734   , 42.375    , 111.422   , 110.016   , 1         , 1         , 1         , 1         , 2.24267   , 2.24267   , 0.0712159 , 0.0607845 , 1.02286   , 1.02197   , 15.7816   , 23.25     , 15.75     , 23.25     , 15.75     , 23.25     , 15.75     , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.625002  , 0.800783  , 0.546876  , 1.05469   , 0.683596  , 0.585939  , 0.1875    , -0.296875 , 0.0078125 , 0         , 1         , 0         , 0         , 0         , 0         , 1         , 32.25     , 93        , 67.5      , 1.04267   , 2.5       
    0.050, 981.5     , 12.5      , 12.4722   , 1.52344   , 0         , 0         , 12.5887   , 5.88235   , 13.5872   , 75.925    , 988.594   , 981.016   , 0         , 981.016   , 636.641   , 606.172   , 972.891   , 988.594   , 1         , 1.01285   , 0.641358  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 213.516   , 217.945   , 0         , 0         , 0         , 0         , 0         , 40.4297   , 42.7266   , 111.422   , 110.016   , 1         , 1         , 1         , 1         , 2.30134   , 2.30667   , 0.0712159 , 0.0607845 , 1.02454   , 1.02365   , 15.7816   , 22.5      , 12.75     , 22.5      , 12.75     , 22.5      , 12.75     , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.625002  , 0.781252  , 0.527345  , 1.09375   , 0.664064  , 0.60547   , 0.1875    , -0.328125 , 0.0078125 , 0         , 1         , 0         , 0         , 0         , 0         , 1         , 32.25     , 93        , 67.5      , 1.10133   , 2.5       
    0.100, 970       , 12.3333   , 12.3333   , 1.51367   , 0         , 0         , 12.5887   , 5.88235   , 13.5872   , 76.3      , 988.594   , 981.016   , 0         , 981.016   , 642.734   , 616.328   , 972.891   , 988.594   , 1         , 1.01285   , 0.650696  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 213.539   , 217.969   , 0         , 0         , 0         , 0         , 0         , 41.2266   , 43.1953   , 111.422   , 110.016   , 1         , 1         , 1         , 1         , 2.32267   , 2.32534   , 0.0816473 , 0.0712159 , 1.02625   , 1.02536   , 15.8988   , 22.5      , 12        , 22.5      , 12        , 22.5      , 12        , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.625002  , 0.781252  , 0.527345  , 1.09375   , 0.664064  , 0.60547   , 0.09375   , -0.328125 , 0.0078125 , 0         , 1         , 0         , 0         , 0         , 0         , 1         , 32.25     , 93        , 67.5      , 1.12267   , 2.5       
    0.150, 964       , 12.25     , 12.3889   , 1.51855   , 0         , 0         , 12.5887   , 5.88235   , 13.5168   , 76.45     , 988.594   , 982.656   , 0         , 982.656   , 647.109   , 620       , 974.219   , 988.594   , 1         , 1.01285   , 0.653016  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 213.539   , 217.969   , 0         , 0         , 0         , 0         , 0         , 41.5078   , 43.5234   , 111.422   , 110.016   , 1         , 1         , 1         , 1         , 2.30934   , 2.312     , 0.0712159 , 0.0660002 , 1.02808   , 1.02719   , 15.9574   , 21.75     , 10.5      , 21.75     , 10.5      , 21.75     , 10.5      , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.60547   , 0.800783  , 0.507814  , 1.13282   , 0.644533  , 0.60547   , 0.09375   , -0.328125 , 0.00390625, 0         , 1         , 0         , 0         , 0         , 0         , 1         , 32.25     , 93        , 67.5      , 1.10933   , 2.5       
    0.200, 949.5     , 12.1945   , 12.2778   , 1.51367   , 0         , 0         , 12.5887   , 5.88235   , 13.5168   , 76.75     , 988.594   , 984.297   , 0         , 984.297   , 655.156   , 626.484   , 975.234   , 988.594   , 1         , 1.01285   , 0.663453  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 213.563   , 218.016   , 0         , 0         , 0         , 0         , 0         , 41.9766   , 44.1563   , 111.422   , 110.016   , 1         , 1         , 1         , 1         , 2.33867   , 2.34134   , 0.0764316 , 0.0816473 , 1.02991   , 1.02902   , 15.8012   , 21.75     , 11.25     , 21.75     , 11.25     , 21.75     , 11.25     , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.60547   , 0.800783  , 0.507814  , 1.13282   , 0.644533  , 0.60547   , 0.09375   , -0.328125 , 0.00390625, 0         , 1         , 0         , 0         , 0         , 0         , 1         , 32.25     , 93        , 67.5      , 1.13867   , 2.6       
    0.250, 934.5     , 11.9445   , 12.25     , 1.51855   , 0         , 0         , 12.5887   , 5.88235   , 13.5168   , 76.85     , 988.594   , 983.281   , 0         , 983.281   , 661.953   , 631.797   , 973.203   , 988.594   , 1         , 1.01285   , 0.669068  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 213.586   , 218.016   , 0         , 0         , 0         , 0         , 0         , 42.4219   , 44.6719   , 111.422   , 110.016   , 1         , 1         , 1         , 1         , 2.36      , 2.36534   , 0.0764316 , 0.0816473 , 1.03174   , 1.03085   , 15.7328   , 21.75     , 12        , 21.75     , 12        , 21.75     , 12        , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.625002  , 0.820315  , 0.527345  , 1.17188   , 0.644533  , 0.585939  , 0.09375   , -0.328125 , 0.00390625, 0         , 1         , 0         , 0         , 0         , 0         , 1         , 31.5      , 93        , 67.5      , 1.15467   , 2.6       
    0.300, 926       , 12.2222   , 12.2222   , 1.50879   , 0         , 0         , 12.5887   , 5.88235   , 13.5168   , 77.075    , 988.594   , 983.125   , 0         , 983.125   , 670.859   , 636.406   , 971.953   , 988.594   , 1         , 1.01395   , 0.675354  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 213.609   , 218.039   , 0         , 0         , 0         , 0         , 0         , 42.7734   , 45.3516   , 111.539   , 110.016   , 1         , 1         , 1         , 1         , 2.392     , 2.39467   , 0.0660002 , 0.0764316 , 1.03357   , 1.03269   , 15.6449   , 21        , 12        , 21        , 12        , 21        , 12        , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.625002  , 0.820315  , 0.527345  , 1.17188   , 0.644533  , 0.585939  , 0.09375   , -0.0625   , 0.00390625, 0         , 1         , 0         , 0         , 0         , 0         , 1         , 31.5      , 93        , 67.5      , 1.18667   , 2.6       
    0.350, 911       , 11.9445   , 12.1111   , 1.49902   , 0         , 0         , 12.5887   , 5.88235   , 13.5168   , 77.15     , 988.516   , 983.359   , 0         , 983.359   , 680.156   , 642.422   , 971.719   , 988.516   , 1         , 1.01395   , 0.68982   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 214.148   , 218.625   , 0         , 0         , 0         , 0         , 0         , 43.2188   , 46.1953   , 111.539   , 110.016   , 1         , 1         , 1         , 1         , 2.41867   , 2.424     , 0.0816473 , 0.086863  , 1.0354    , 1.03452   , 15.5668   , 21        , 13.5      , 21        , 13.5      , 21        , 13.5      , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.644533  , 0.839846  , 0.546876  , 1.17188   , 0.664064  , 0.60547   , 0.109375  , -0.0625   , 0.00390625, 0         , 1         , 0         , 0         , 0         , 0         , 1         , 31.5      , 93        , 67.5      , 1.21333   , 2.8       
    0.400, 897       , 12        , 12.0833   , 1.51367   , 0         , 0         , 12.5887   , 5.88235   , 13.5168   , 77.425    , 988.516   , 982.969   , 0         , 982.969   , 686.563   , 649.297   , 970.547   , 988.516   , 1         , 1.01395   , 0.695069  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 214.172   , 218.625   , 0         , 0         , 0         , 0         , 0         , 43.8984   , 46.6875   , 111.539   , 110.016   , 1         , 1         , 1         , 1         , 2.44534   , 2.448     , 0.0816473 , 0.0712159 , 1.03723   , 1.03635   , 15.4398   , 20.25     , 15.75     , 21        , 15.75     , 20.25     , 15.75     , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.644533  , 0.839846  , 0.546876  , 1.17188   , 0.664064  , 0.60547   , 0.109375  , -0.0625   , 0.00390625, 0         , 1         , 0         , 0         , 0         , 0         , 1         , 31.5      , 93        , 67.5      , 1.24      , 2.8       
    0.450, 887.75    , 12        , 12.1111   , 1.51367   , 0         , 1.25      , 12.5887   , 5.88235   , 13.5168   , 77.4      , 988.516   , 982.813   , 0         , 982.813   , 694.531   , 655.078   , 970.469   , 988.516   , 1         , 1.01395   , 0.700623  , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 214.195   , 218.648   , 0         , 0         , 0         , 0         , 0         , 44.3438   , 47.2969   , 111.539   , 110.016   , 1         , 1         , 1         , 1         , 2.45867   , 2.464     , 0.0816473 , 0.0816473 , 1.03906   , 1.03818   , 15.4008   , 19.5      , 13.5      , 20.25     , 13.5      , 19.5      , 13.5      , -0        , -0        , 0         , 0         , 0         , 0         , 0         , 0         , 0.625002  , 0.839846  , 0.546876  , 1.17188   , 0.683596  , 0.625002  , 0.109375  , 0.03125   , 0.00390625, 0         , 1         , 0         , 0         , 0         , 0         , 1         , 31.5      , 93        , 67.5      , 1.25333   , 2.8       
